,file_path,age
5810,dataset2\29\1003948_1976-03-30_2006.jpg,29
5912,dataset2\29\11503512_1985-08-31_2015.jpg,29
4275,dataset2\24\07696_07M24.JPG,24
19791,dataset2\9\9_0_0_20170110224837718.jpg.chip.jpg,9
17210,dataset2\64\34240_02M64.JPG,64
16840,dataset2\63\21040341_1944-02-16_2008.jpg,63
6094,dataset2\30\03007_02F30.JPG,30
16464,dataset2\62\14535_AudreyHepburn_62_f.jpg,62
8805,dataset2\39\033A39.JPG,39
5003,dataset2\26\10966207_1982-01-26_2009.jpg,26
16286,dataset2\61\24312088_1951-01-03_2013.jpg,61
14923,dataset2\58\10956_DaliahLavi_58_f.jpg,58
6480,dataset2\31\1152_FrederickSanger_31_m.jpg,31
14787,dataset2\57\16352_Dench_57_f.jpg,57
10375,dataset2\44\050840_1M44.JPG,44
8536,dataset2\38\06399_0M38.JPG,38
3003,dataset2\19\1414_ErnestHemingway_19_m.jpg,19
2653,dataset2\18\11886270_1985-05-21_2004.jpg,18
816,dataset2\12\43068734_2002-10-29_2015.jpg,12
17191,dataset2\64\309181_1915-12-13_1980.jpg,64
1421,dataset2\14\15369_JanePowell_14_f.jpg,14
4166,dataset2\23\12978_ClaudiaCardinale_23_f.jpg,23
7973,dataset2\36\071676_2M36.JPG,36
15589,dataset2\6\6_1_3_20161220222405139.jpg.chip.jpg,6
17029,dataset2\64\12841_MaryTylerMoore_64_f.jpg,64
12543,dataset2\50\047674_1M50.JPG,50
4698,dataset2\25\11460_JuliaRoberts_25_f.jpg,25
1845,dataset2\16\039A16.JPG,16
19488,dataset2\8\8_1_0_20170109202314510.jpg.chip.jpg,8
14673,dataset2\57\11749_SusanSarandon_57_f.jpg,57
75,dataset2\10\10_0_0_20170110224416035.jpg.chip.jpg,10
15210,dataset2\59\10523_FayeDunaway_59_f.jpg,59
5300,dataset2\27\10804507_1986-06-19_2014.jpg,27
10389,dataset2\44\050979_10M44.JPG,44
15836,dataset2\60\12639_HedyLamarr_60_f.jpg,60
4631,dataset2\25\10546_02M25.JPG,25
17434,dataset2\65\23897418_1941-07-29_2007.jpg,65
10114,dataset2\43\054929_1M43.JPG,43
19373,dataset2\8\070A08.JPG,8
2491,dataset2\18\0373_07M18.JPG,18
3566,dataset2\21\13802_VanessaRedgrave_21_f.jpg,21
8356,dataset2\37\073579_0F37.JPG,37
7874,dataset2\35\093092_4M35.JPG,35
4965,dataset2\26\1055151_1984-01-12_2011.jpg,26
11553,dataset2\48\043709_1F48.JPG,48
2178,dataset2\17\06664_00F17.JPG,17
12707,dataset2\50\074515_0M50.JPG,50
13931,dataset2\55\032572_7M55.JPG,55
6238,dataset2\30\11625217_1980-04-15_2011.jpg,30
13023,dataset2\52\035110_0M52.JPG,52
3060,dataset2\20\029A20.JPG,20
10563,dataset2\44\057038_0M44.JPG,44
9692,dataset2\41\065012_1M41.JPG,41
14186,dataset2\55\12543_AlikiBoug_55_f.jpg,55
13493,dataset2\53\063280_2M53.JPG,53
15615,dataset2\6\6_1_4_20170103214752366.jpg.chip.jpg,6
8256,dataset2\37\068695_1M37.JPG,37
450,dataset2\11\nm0000192_rm4252813312_1972-12-19_1984.jpg,11
14465,dataset2\56\13227_RoyScheider_56_f.jpg,56
7540,dataset2\34\10221_KathyBates_34_f.jpg,34
16568,dataset2\62\23109201_1917-02-15_1980.jpg,62
6884,dataset2\32\11314_TanyaRoberts_32_f.jpg,32
220,dataset2\10\6472_JohnnyCash_10_m.jpg,10
2502,dataset2\18\045A18.JPG,18
12859,dataset2\51\049486_02M51.JPG,51
9736,dataset2\42\052251_1M42.JPG,42
2663,dataset2\18\12221_IsabelleAdjani_18_f.jpg,18
18180,dataset2\68\1180911_1898-05-09_1967.jpg,68
19397,dataset2\8\8295059_1955-09-29_1964.jpg,8
14360,dataset2\56\081218_1M56.JPG,56
10613,dataset2\45\02633_03M45.JPG,45
15838,dataset2\60\1272112_1948-12-31_2009.jpg,60
14041,dataset2\55\075227_0M55.JPG,55
15581,dataset2\6\6_1_2_20161219200113379.jpg.chip.jpg,6
2525,dataset2\18\05752_00M18.JPG,18
1310,dataset2\14\14_0_2_20170103200642238.jpg.chip.jpg,14
