file_path,age
./balancer/final/real/uniform_split/test\10\0.jpg,10
./balancer/final/real/uniform_split/test\10\10.jpg,10
./balancer/final/real/uniform_split/test\10\100.jpg,10
./balancer/final/real/uniform_split/test\10\102.jpg,10
./balancer/final/real/uniform_split/test\10\103.jpg,10
./balancer/final/real/uniform_split/test\10\104.jpg,10
./balancer/final/real/uniform_split/test\10\112.jpg,10
./balancer/final/real/uniform_split/test\10\114.jpg,10
./balancer/final/real/uniform_split/test\10\124.jpg,10
./balancer/final/real/uniform_split/test\10\133.jpg,10
./balancer/final/real/uniform_split/test\10\139.jpg,10
./balancer/final/real/uniform_split/test\10\17.jpg,10
./balancer/final/real/uniform_split/test\10\175.jpg,10
./balancer/final/real/uniform_split/test\10\180.jpg,10
./balancer/final/real/uniform_split/test\10\181.jpg,10
./balancer/final/real/uniform_split/test\10\187.jpg,10
./balancer/final/real/uniform_split/test\10\197.jpg,10
./balancer/final/real/uniform_split/test\10\200.jpg,10
./balancer/final/real/uniform_split/test\10\204.jpg,10
./balancer/final/real/uniform_split/test\10\218.jpg,10
./balancer/final/real/uniform_split/test\10\225.jpg,10
./balancer/final/real/uniform_split/test\10\234.jpg,10
./balancer/final/real/uniform_split/test\10\261.jpg,10
./balancer/final/real/uniform_split/test\10\263.jpg,10
./balancer/final/real/uniform_split/test\10\279.jpg,10
./balancer/final/real/uniform_split/test\10\293.jpg,10
./balancer/final/real/uniform_split/test\10\30.JPG,10
./balancer/final/real/uniform_split/test\10\31.jpg,10
./balancer/final/real/uniform_split/test\10\32.jpg,10
./balancer/final/real/uniform_split/test\10\341.jpg,10
./balancer/final/real/uniform_split/test\10\342.jpg,10
./balancer/final/real/uniform_split/test\10\346.jpg,10
./balancer/final/real/uniform_split/test\10\348.jpg,10
./balancer/final/real/uniform_split/test\10\359.jpg,10
./balancer/final/real/uniform_split/test\10\372.jpg,10
./balancer/final/real/uniform_split/test\10\376.jpg,10
./balancer/final/real/uniform_split/test\10\390.jpg,10
./balancer/final/real/uniform_split/test\10\392.jpg,10
./balancer/final/real/uniform_split/test\10\398.jpg,10
./balancer/final/real/uniform_split/test\10\404.jpg,10
./balancer/final/real/uniform_split/test\10\407.jpg,10
./balancer/final/real/uniform_split/test\10\408.jpg,10
./balancer/final/real/uniform_split/test\10\410.jpg,10
./balancer/final/real/uniform_split/test\10\416.jpg,10
./balancer/final/real/uniform_split/test\10\42.JPG,10
./balancer/final/real/uniform_split/test\10\437.jpg,10
./balancer/final/real/uniform_split/test\10\438.jpg,10
./balancer/final/real/uniform_split/test\10\447.jpg,10
./balancer/final/real/uniform_split/test\10\448.jpg,10
./balancer/final/real/uniform_split/test\10\449.jpg,10
./balancer/final/real/uniform_split/test\10\46.jpg,10
./balancer/final/real/uniform_split/test\10\47.JPG,10
./balancer/final/real/uniform_split/test\10\471.jpg,10
./balancer/final/real/uniform_split/test\10\479.JPG,10
./balancer/final/real/uniform_split/test\10\484.jpg,10
./balancer/final/real/uniform_split/test\10\487.jpg,10
./balancer/final/real/uniform_split/test\10\490.jpg,10
./balancer/final/real/uniform_split/test\10\491.jpg,10
./balancer/final/real/uniform_split/test\10\493.jpg,10
./balancer/final/real/uniform_split/test\10\494.jpg,10
./balancer/final/real/uniform_split/test\10\498.JPG,10
./balancer/final/real/uniform_split/test\10\515.jpg,10
./balancer/final/real/uniform_split/test\10\517.jpg,10
./balancer/final/real/uniform_split/test\10\52.jpg,10
./balancer/final/real/uniform_split/test\10\520.jpg,10
./balancer/final/real/uniform_split/test\10\525.jpg,10
./balancer/final/real/uniform_split/test\10\546.jpg,10
./balancer/final/real/uniform_split/test\10\548.jpg,10
./balancer/final/real/uniform_split/test\10\549.jpg,10
./balancer/final/real/uniform_split/test\10\565.jpg,10
./balancer/final/real/uniform_split/test\10\567.jpg,10
./balancer/final/real/uniform_split/test\10\575.jpg,10
./balancer/final/real/uniform_split/test\10\67.jpg,10
./balancer/final/real/uniform_split/test\10\79.jpg,10
./balancer/final/real/uniform_split/test\10\87.jpg,10
./balancer/final/real/uniform_split/test\10\89.jpg,10
./balancer/final/real/uniform_split/test\11\0.jpg,11
./balancer/final/real/uniform_split/test\11\115.jpg,11
./balancer/final/real/uniform_split/test\11\116.jpg,11
./balancer/final/real/uniform_split/test\11\120.jpg,11
./balancer/final/real/uniform_split/test\11\135.jpg,11
./balancer/final/real/uniform_split/test\11\144.jpg,11
./balancer/final/real/uniform_split/test\11\156.jpg,11
./balancer/final/real/uniform_split/test\11\158.jpg,11
