,dob,photo_taken,age,file_path,gender,face_location,face_score,second_face_score
0,723671,2009,27,17/10000217_1981-05-05_2009.jpg,1,"111, 111, 252, 252",4.3009623883308095,
2,711677,2008,59,12/100012_1948-07-03_2008.jpg,1,"113, 169, 366, 422",4.329328832406529,
4,720044,2012,40,16/10002116_1971-05-31_2012.jpg,0,"171, 75, 266, 170",3.408442415222501,
5,716189,2012,51,02/10002702_1960-11-09_2012.jpg,0,"274, 57, 376, 159",4.748056377951486,
6,707745,1971,33,41/10003541_1937-09-27_1971.jpg,1,"79, 26, 197, 144",4.1848283121533445,
10,697114,1950,41,99/10004299_1908-08-19_1950.jpg,1,"107, 107, 298, 298",4.526657044651478,
11,706177,1969,35,56/1000456_1933-06-12_1969.jpg,1,"240, 71, 366, 197",5.5518409885255,
12,725873,2010,22,82/10004882_1987-05-16_2010.jpg,1,"75, 96, 122, 143",3.97547825972838,
15,723643,2006,24,47/10005947_1981-04-07_2006.jpg,0,"113, 141, 366, 394",4.143016079572957,
17,720853,2010,36,50/10006850_1973-08-17_2010.jpg,1,"130, 75, 297, 241",3.242851859571786,
19,705106,2008,77,81/1000781_1930-07-07_2008.jpg,1,"126, 28, 251, 153",3.680456090252123,
20,690083,1940,50,87/100087_1889-05-19_1940.jpg,1,"54, 72, 216, 234",2.9926363865549197,
21,718880,2010,41,97/100097_1968-03-23_2010.jpg,1,"87, 74, 197, 185",4.297714671315127,
23,723576,2014,32,31/1001231_1981-01-30_2014.jpg,1,"148, 78, 225, 156",4.028333302478682,
24,724365,2011,27,32/10012532_1983-03-30_2011.jpg,0,"117, 91, 233, 207",4.585282807144463,
27,703706,1986,59,31/100131_1926-09-06_1986.jpg,1,"105, 132, 341, 367",4.902966480237615,
28,714561,1969,12,45/10013345_1956-05-26_1969.jpg,1,"138, 160, 343, 365",4.598561071814541,
31,713682,2014,60,64/1001464_1953-12-29_2014.jpg,1,"129, 65, 323, 258",2.795553626934239,
32,719082,2010,41,95/10014795_1968-10-11_2010.jpg,1,"159, 45, 260, 147",5.83799354555387,
33,722145,2007,29,79/10015679_1977-03-01_2007.jpg,1,"38, 38, 96, 96",5.640263214902015,
35,725945,2012,24,74/10016074_1987-07-27_2012.jpg,1,"130, 178, 274, 323",5.198935529601353,
36,726136,2012,23,25/10016225_1988-02-03_2012.jpg,1,"249, 105, 321, 176",3.097300263685132,
38,717180,2009,45,88/10016688_1963-07-28_2009.jpg,0,"183, 99, 309, 225",3.6644298834540887,
40,720839,2007,33,64/10017464_1973-08-03_2007.jpg,1,"104, 83, 291, 270",5.343139771187023,
51,724779,2014,29,21/10026321_1984-05-17_2014.jpg,1,"146, 65, 291, 210",3.579296562259387,
53,721280,2007,32,62/10028362_1974-10-18_2007.jpg,1,"214, 69, 290, 145",3.574193712293149,
55,714698,2010,53,21/10028621_1956-10-10_2010.jpg,1,"181, 60, 361, 241",2.5018410061868983,
56,713769,2007,52,71/1002871_1954-03-26_2007.jpg,1,"245, 33, 391, 179",3.235915119442618,
58,718098,2012,45,80/1002980_1966-01-31_2012.jpg,1,"69, 86, 222, 239",4.956032345809338,
59,723355,2013,32,13/10030613_1980-06-23_2013.jpg,0,"160, 140, 338, 318",3.3197362746058414,
62,717802,2007,41,43/1003243_1965-04-10_2007.jpg,1,"124, 89, 282, 247",4.004869221818018,
65,710562,2012,66,59/10033359_1945-06-14_2012.jpg,1,"123, 98, 343, 318",4.112617691089812,
68,705474,2010,78,39/100339_1931-07-10_2010.jpg,1,"96, 60, 203, 167",2.809603118022331,
69,701488,1970,49,49/1003449_1920-08-10_1970.jpg,1,"62, 62, 249, 249",4.028829034269829,
71,721930,2009,32,29/10034929_1976-07-29_2009.jpg,1,"169, 34, 244, 109",3.041627137600959,
76,718549,2015,47,84/100384_1967-04-27_2015.jpg,1,"0, 160, 358, 517",4.23657431912644,
77,719447,2013,43,87/100387_1969-10-11_2013.jpg,1,"112, 75, 278, 241",3.2980966439990085,
82,721809,2006,29,48/1003948_1976-03-30_2006.jpg,0,"29, 141, 281, 394",3.4625193832524364,
85,722960,2010,30,27/1004027_1979-05-25_2010.jpg,1,"146, 97, 363, 315",3.7821766639207466,
92,719695,2007,36,60/1004160_1970-06-16_2007.jpg,1,"52, 35, 131, 113",3.0912951031731306,
